Onsite
Registration Fees,$51177738.35
Licensing and Permits,$146421600.53
Capital Inventory,$68766038.06
Deposits,$2339474.77
Property Investment,$46764684.03
Equipment Investment,$40572876.12
Utility Fees,$1293433.27
Salaries,$39609296.18
Rent,$10878047.20
Mortgage,$7021012.26
Telecommunication,$8166779.14
Utilities,$343045122.27
Raw Materials,$38361668.09
Storage,$50756131.32
Distribution,$107590855.46
Promotion,$243479475.75
Loan Payments,$39867568.34
Office Supplies,$387169534.61
Maintenance,$1459375.49

Remote
Registration Fees,$161334567.55
Licensing and Permits,$50242622.13
Capital Inventory,$43570358.72
Deposits,$9791813.14
Property Investment,$46589801.88
Equipment Investment,$6179139.49
Utility Fees,$85676705.63
Salaries,$62425853.91
Rent,$2730444.97
Mortgage,$8277140.18
Telecommunication,$19072724.29
Utilities,$4400418.62
Raw Materials,$149419957.12
Storage,$211748144.58
Distribution,$62825945.89
Promotion,$16749690.81
Loan Payments,$6864041.56
Office Supplies,$227415527.49
Maintenance,$23047254.48

Outsourced
Registration Fees,$46759003.95
Licensing and Permits,$13869538.57
Capital Inventory,$1806572.04
Deposits,$7846155.36
Property Investment,$1633124.23
Equipment Investment,$727232107.26
Utility Fees,$3709465.46
Salaries,$41071607.57
Rent,$135674562.66
Mortgage,$153750836.88
Telecommunication,$26967194.71
Utilities,$239932556.18
Raw Materials,$30919326.68
Storage,$43478031.54
Distribution,$45037138.59
Promotion,$128832939.69
Loan Payments,$9627526.25
Office Supplies,$116307628.33
Maintenance,$45717878.51

Deductible
Registration Fees,$3175755.82
Licensing and Permits,$2056547.11
Capital Inventory,$489204314.88
Deposits,$42800138.36
Property Investment,$11361338.76
Equipment Investment,$43939779.21
Utility Fees,$209181259.83
Salaries,$1648362.11
Rent,$61860376.84
Mortgage,$34302170.60
Telecommunication,$506877126.56
Utilities,$546144547.99
Raw Materials,$2580827.12
Storage,$1558885.00
Distribution,$13446502.26
Promotion,$367471619.94
Loan Payments,$352553716.01
Office Supplies,$6734019.59
Maintenance,$7075331.84

