Onsite
Registration Fees,$91832012.90
Licensing and Permits,$6062977.70
Capital Inventory,$242680.12
Deposits,$12776017.16
Property Investment,$5893183.76
Equipment Investment,$136070.40
Utility Fees,$661406.34
Salaries,$1823402.11
Rent,$4357409.09
Mortgage,$1184437.37
Telecommunication,$94891867.50
Utilities,$1614998.18
Raw Materials,$2721329.25
Storage,$6797976.88
Distribution,$17929088.63
Promotion,$3908705.14
Loan Payments,$17386439.24
Office Supplies,$102262.75
Maintenance,$683500.75

Remote
Registration Fees,$1489724.74
Licensing and Permits,$5358035.94
Capital Inventory,$507759.06
Deposits,$2733969.45
Property Investment,$67210717.84
Equipment Investment,$485561.68
Utility Fees,$477857.35
Salaries,$538518.21
Rent,$33379956.70
Mortgage,$70988499.44
Telecommunication,$150673.13
Utilities,$2418687.11
Raw Materials,$28550754.37
Storage,$15770886.71
Distribution,$22473252.93
Promotion,$1529546.44
Loan Payments,$15615543.92
Office Supplies,$83602256.78
Maintenance,$30995106.32

Outsourced
Registration Fees,$28158678.65
Licensing and Permits,$349309.53
Capital Inventory,$261673.37
Deposits,$23426462.93
Property Investment,$139652.72
Equipment Investment,$790495.95
Utility Fees,$21521767.93
Salaries,$1775138.33
Rent,$366915.98
Mortgage,$369680.36
Telecommunication,$1899534.30
Utilities,$390349.85
Raw Materials,$1430273.97
Storage,$2272145.78
Distribution,$13815367.77
Promotion,$99567506.89
Loan Payments,$6418453.76
Office Supplies,$18942275.88
Maintenance,$5666187.98

Deductible
Registration Fees,$4384923.14
Licensing and Permits,$4600981.03
Capital Inventory,$2056003.24
Deposits,$10853187.85
Property Investment,$62384684.11
Equipment Investment,$212259.07
Utility Fees,$18482606.84
Salaries,$22182569.26
Rent,$2067632.66
Mortgage,$210283.69
Telecommunication,$1702201.89
Utilities,$2731757.71
Raw Materials,$1677098.02
Storage,$7138365.14
Distribution,$5123049.31
Promotion,$925506.96
Loan Payments,$58075538.40
Office Supplies,$28962318.62
Maintenance,$1090323.58

