Onsite
Registration Fees,$794335866.56
Licensing and Permits,$2269933.38
Capital Inventory,$636402095.50
Deposits,$30406025.69
Property Investment,$772457649.39
Equipment Investment,$1695242.35
Utility Fees,$56974493.27
Salaries,$644441165.61
Rent,$186172078.46
Mortgage,$1245396.85
Telecommunication,$2211311.68
Utilities,$19051694.77
Raw Materials,$328476890.72
Storage,$408786138.45
Distribution,$45822323.75
Promotion,$922975528.82
Loan Payments,$25724866.74
Office Supplies,$55571003.88
Maintenance,$191799276.96

Remote
Registration Fees,$15835650.37
Licensing and Permits,$1179605.14
Capital Inventory,$2518859.38
Deposits,$56198376.75
Property Investment,$376138809.24
Equipment Investment,$18165724.86
Utility Fees,$26856240.23
Salaries,$23957047.54
Rent,$241763160.63
Mortgage,$143977770.00
Telecommunication,$268553976.92
Utilities,$8189635.33
Raw Materials,$1463926.34
Storage,$96070078.29
Distribution,$6561476.13
Promotion,$13153900.94
Loan Payments,$5147316.54
Office Supplies,$17403477.29
Maintenance,$53440816.42

Outsourced
Registration Fees,$35764619.26
Licensing and Permits,$2409716.32
Capital Inventory,$199725474.26
Deposits,$49986360.28
Property Investment,$117026543.81
Equipment Investment,$92810528.28
Utility Fees,$202344492.36
Salaries,$6189536.39
Rent,$4109759.73
Mortgage,$6000125.36
Telecommunication,$116011026.92
Utilities,$545688929.70
Raw Materials,$2101251.96
Storage,$290262889.51
Distribution,$502080615.85
Promotion,$894035431.68
Loan Payments,$68355341.87
Office Supplies,$217690991.00
Maintenance,$12686192.39

Deductible
Registration Fees,$248199271.60
Licensing and Permits,$72829543.22
Capital Inventory,$208353913.43
Deposits,$197158918.82
Property Investment,$402236541.88
Equipment Investment,$9317990.78
Utility Fees,$114354254.59
Salaries,$2325211.88
Rent,$1391166.86
Mortgage,$19736368.83
Telecommunication,$9729790.43
Utilities,$1634461.73
Raw Materials,$48654662.12
Storage,$6028891.06
Distribution,$164068165.91
Promotion,$64335918.40
Loan Payments,$28344591.31
Office Supplies,$39659685.14
Maintenance,$1491177.42

