Onsite
Registration Fees,$14360757.25
Licensing and Permits,$9712223.30
Capital Inventory,$46122169.53
Deposits,$213502221.00
Property Investment,$107607248.89
Equipment Investment,$651856619.09
Utility Fees,$2741742.75
Salaries,$13205861.37
Rent,$797004344.08
Mortgage,$64925441.30
Telecommunication,$832444641.79
Utilities,$55392494.71
Raw Materials,$278172448.23
Storage,$230960057.84
Distribution,$125417628.95
Promotion,$34143600.70
Loan Payments,$286003495.74
Office Supplies,$293513100.12
Maintenance,$1717783.12

Remote
Registration Fees,$27165324.59
Licensing and Permits,$1169595.28
Capital Inventory,$836369924.17
Deposits,$50066066.16
Property Investment,$114713374.02
Equipment Investment,$273161012.28
Utility Fees,$569863250.55
Salaries,$813110782.75
Rent,$32893632.80
Mortgage,$822625431.13
Telecommunication,$253014432.35
Utilities,$9512034.19
Raw Materials,$63494110.97
Storage,$454497686.23
Distribution,$7891628.44
Promotion,$4817546.55
Loan Payments,$31207228.84
Office Supplies,$6942962.47
Maintenance,$8047111.76

Outsourced
Registration Fees,$202902829.56
Licensing and Permits,$60406927.12
Capital Inventory,$2492076.53
Deposits,$869657405.39
Property Investment,$3187214.56
Equipment Investment,$5762540.74
Utility Fees,$5077303.41
Salaries,$9504583.09
Rent,$8281395.09
Mortgage,$64287231.13
Telecommunication,$72090280.44
Utilities,$4278506.77
Raw Materials,$497785957.12
Storage,$644091493.73
Distribution,$2075292.94
Promotion,$16665533.51
Loan Payments,$8695530.75
Office Supplies,$7537269.81
Maintenance,$29193621.87

Deductible
Registration Fees,$865449523.52
Licensing and Permits,$654874082.79
Capital Inventory,$5526322.23
Deposits,$239862277.01
Property Investment,$15867851.81
Equipment Investment,$151081603.01
Utility Fees,$393926204.57
Salaries,$239677584.80
Rent,$24142227.33
Mortgage,$2414512.36
Telecommunication,$2320589.47
Utilities,$129134956.77
Raw Materials,$19852318.71
Storage,$33848179.60
Distribution,$40486769.80
Promotion,$5345071.40
Loan Payments,$1982209.24
Office Supplies,$237279639.49
Maintenance,$1634093.77

