Onsite
Registration Fees,$25067325.59
Licensing and Permits,$209305832.03
Capital Inventory,$628482125.59
Deposits,$16323520.87
Property Investment,$763423131.47
Equipment Investment,$5115315.78
Utility Fees,$9913264.21
Salaries,$18621812.87
Rent,$273406603.44
Mortgage,$211003316.67
Telecommunication,$13871196.32
Utilities,$2958940.37
Raw Materials,$7874347.43
Storage,$17157950.91
Distribution,$4256879.59
Promotion,$6719538.66
Loan Payments,$4532498.17
Office Supplies,$466181140.27
Maintenance,$5385047.75

Remote
Registration Fees,$509960765.83
Licensing and Permits,$4629124.43
Capital Inventory,$215986739.96
Deposits,$89997378.81
Property Investment,$22338756.15
Equipment Investment,$18777973.03
Utility Fees,$7169149.29
Salaries,$2139044.23
Rent,$4563833.04
Mortgage,$349574499.18
Telecommunication,$74908941.02
Utilities,$110481045.88
Raw Materials,$1131218.81
Storage,$116065591.15
Distribution,$789034562.70
Promotion,$1303524.03
Loan Payments,$2651447.26
Office Supplies,$410927977.56
Maintenance,$535505825.96

Outsourced
Registration Fees,$409692534.52
Licensing and Permits,$98441256.49
Capital Inventory,$154138871.96
Deposits,$1371519.98
Property Investment,$236893438.14
Equipment Investment,$3797839.65
Utility Fees,$2879987.69
Salaries,$590417999.62
Rent,$3321636.90
Mortgage,$230571392.80
Telecommunication,$30988135.38
Utilities,$2322459.95
Raw Materials,$578541725.22
Storage,$62074018.51
Distribution,$186585670.13
Promotion,$822420141.31
Loan Payments,$383462392.97
Office Supplies,$81966220.33
Maintenance,$95845666.90

Deductible
Registration Fees,$22853708.45
Licensing and Permits,$419862531.84
Capital Inventory,$2175517.03
Deposits,$26961797.34
Property Investment,$1407117.29
Equipment Investment,$5569089.12
Utility Fees,$24758833.95
Salaries,$5626480.25
Rent,$2172812.05
Mortgage,$38194747.20
Telecommunication,$779093759.70
Utilities,$513807210.80
Raw Materials,$7272827.44
Storage,$5136549.11
Distribution,$412693995.23
Promotion,$41600984.29
Loan Payments,$12579418.52
Office Supplies,$939719119.43
Maintenance,$230439039.65

