Onsite
Registration Fees,$10727579.68
Licensing and Permits,$28580832.81
Capital Inventory,$600116558.95
Deposits,$8464057.39
Property Investment,$39647472.31
Equipment Investment,$43138817.07
Utility Fees,$5001879.34
Salaries,$185351339.43
Rent,$26949540.94
Mortgage,$12214670.03
Telecommunication,$20580236.58
Utilities,$163797877.51
Raw Materials,$2992711.46
Storage,$17237183.19
Distribution,$304181778.70
Promotion,$180164140.02
Loan Payments,$720738087.31
Office Supplies,$77198425.24
Maintenance,$343874422.58

Remote
Registration Fees,$41590034.04
Licensing and Permits,$93969782.68
Capital Inventory,$146237311.93
Deposits,$18590460.34
Property Investment,$460310063.75
Equipment Investment,$21646172.84
Utility Fees,$801423779.32
Salaries,$6022554.16
Rent,$981599535.84
Mortgage,$3764481.00
Telecommunication,$1245218.51
Utilities,$50478010.70
Raw Materials,$272386942.07
Storage,$90158138.51
Distribution,$371896421.39
Promotion,$20570842.13
Loan Payments,$555557164.96
Office Supplies,$366300058.41
Maintenance,$918090095.74

Outsourced
Registration Fees,$75560813.56
Licensing and Permits,$9152211.14
Capital Inventory,$517906483.84
Deposits,$175589446.34
Property Investment,$416065195.73
Equipment Investment,$71143215.59
Utility Fees,$2070158.62
Salaries,$25724386.51
Rent,$1663028.51
Mortgage,$20812190.15
Telecommunication,$29621935.35
Utilities,$2680801.06
Raw Materials,$7533695.90
Storage,$16392216.17
Distribution,$122095143.35
Promotion,$14797616.96
Loan Payments,$10946386.05
Office Supplies,$28566747.28
Maintenance,$17191712.09

Deductible
Registration Fees,$4326690.67
Licensing and Permits,$49470423.08
Capital Inventory,$3192425.84
Deposits,$11906196.14
Property Investment,$9433200.28
Equipment Investment,$10100342.98
Utility Fees,$25549038.62
Salaries,$9119644.67
Rent,$1456120.54
Mortgage,$959004216.94
Telecommunication,$206208934.30
Utilities,$546266276.59
Raw Materials,$5195313.66
Storage,$1573775.23
Distribution,$9340395.77
Promotion,$23891265.61
Loan Payments,$19066639.42
Office Supplies,$177909383.44
Maintenance,$251574967.15

