Onsite
Registration Fees,$11193292.76
Licensing and Permits,$3036397.24
Capital Inventory,$565819525.10
Deposits,$5041171.66
Property Investment,$305949275.08
Equipment Investment,$3363906.94
Utility Fees,$1074921.31
Salaries,$9085369.98
Rent,$109827000.47
Mortgage,$77648962.94
Telecommunication,$240944878.53
Utilities,$7453797.19
Raw Materials,$205635076.23
Storage,$2526473.52
Distribution,$226310154.22
Promotion,$18331088.28
Loan Payments,$3163010.01
Office Supplies,$7950725.54
Maintenance,$1310214.69

Remote
Registration Fees,$2785037.07
Licensing and Permits,$29173823.39
Capital Inventory,$478826149.71
Deposits,$27781348.59
Property Investment,$43540347.16
Equipment Investment,$32767266.78
Utility Fees,$136919660.12
Salaries,$28475974.59
Rent,$227256407.43
Mortgage,$228728513.88
Telecommunication,$3113658.06
Utilities,$442490215.15
Raw Materials,$29157870.78
Storage,$2158373.56
Distribution,$5608392.58
Promotion,$297024242.36
Loan Payments,$32408845.93
Office Supplies,$97749145.59
Maintenance,$1319426.77

Outsourced
Registration Fees,$2116476.63
Licensing and Permits,$524141735.64
Capital Inventory,$14336623.01
Deposits,$654524876.90
Property Investment,$7651694.82
Equipment Investment,$1298158.11
Utility Fees,$15805748.22
Salaries,$314567414.43
Rent,$116199759.19
Mortgage,$579195328.11
Telecommunication,$1839932.59
Utilities,$7139058.07
Raw Materials,$5780920.24
Storage,$737654703.78
Distribution,$8520295.70
Promotion,$578644664.44
Loan Payments,$482836797.49
Office Supplies,$1590297.56
Maintenance,$2174575.72

Deductible
Registration Fees,$3967176.20
Licensing and Permits,$1231779.43
Capital Inventory,$2471107.63
Deposits,$6551477.39
Property Investment,$3394191.67
Equipment Investment,$43873730.55
Utility Fees,$7526290.53
Salaries,$2001375.59
Rent,$154466468.89
Mortgage,$14234227.50
Telecommunication,$26143299.51
Utilities,$192705832.58
Raw Materials,$560379104.91
Storage,$91612389.97
Distribution,$633176719.10
Promotion,$319313146.26
Loan Payments,$1077272.41
Office Supplies,$17135207.35
Maintenance,$18915937.14

