Onsite
Registration Fees,$25830686.07
Licensing and Permits,$104716.30
Capital Inventory,$145403.38
Deposits,$35179756.15
Property Investment,$38207587.06
Equipment Investment,$839461.35
Utility Fees,$94960074.76
Salaries,$19060886.41
Rent,$1108332.69
Mortgage,$1753669.81
Telecommunication,$54763351.74
Utilities,$12784840.17
Raw Materials,$35698162.79
Storage,$629781.58
Distribution,$97591187.63
Promotion,$4708307.32
Loan Payments,$4122678.91
Office Supplies,$50857501.94
Maintenance,$83470196.41

Remote
Registration Fees,$2410291.84
Licensing and Permits,$4987040.76
Capital Inventory,$69522195.75
Deposits,$42319592.07
Property Investment,$4886100.16
Equipment Investment,$143956.57
Utility Fees,$2550437.50
Salaries,$1531826.04
Rent,$192588.12
Mortgage,$1815620.98
Telecommunication,$60882789.90
Utilities,$406839.18
Raw Materials,$936312.96
Storage,$4675033.43
Distribution,$201559.41
Promotion,$9142997.06
Loan Payments,$6153612.26
Office Supplies,$28390212.31
Maintenance,$14450594.95

Outsourced
Registration Fees,$789423.99
Licensing and Permits,$34796252.83
Capital Inventory,$3177718.95
Deposits,$4604585.16
Property Investment,$718808.48
Equipment Investment,$4353874.20
Utility Fees,$12349169.68
Salaries,$240170.16
Rent,$43001072.45
Mortgage,$15203977.11
Telecommunication,$7925471.56
Utilities,$272534.61
Raw Materials,$343302.39
Storage,$7292595.65
Distribution,$6518966.32
Promotion,$329415.76
Loan Payments,$135267.40
Office Supplies,$70518379.16
Maintenance,$842269.04

Deductible
Registration Fees,$65723945.02
Licensing and Permits,$18870103.53
Capital Inventory,$207746.41
Deposits,$146477.13
Property Investment,$63091456.14
Equipment Investment,$10727916.07
Utility Fees,$727495.09
Salaries,$72404101.74
Rent,$30581727.44
Mortgage,$47767308.24
Telecommunication,$508184.25
Utilities,$12223010.18
Raw Materials,$30501224.43
Storage,$5918162.77
Distribution,$70203311.91
Promotion,$7289678.59
Loan Payments,$10148007.49
Office Supplies,$321671.22
Maintenance,$6360969.49

