Onsite
Registration Fees,$7602357.99
Licensing and Permits,$362425526.34
Capital Inventory,$1837412.07
Deposits,$171093163.35
Property Investment,$3390095.55
Equipment Investment,$229351233.54
Utility Fees,$70592196.16
Salaries,$577035956.19
Rent,$125414719.80
Mortgage,$5301780.98
Telecommunication,$919684317.25
Utilities,$1274122.87
Raw Materials,$1082826.35
Storage,$369228547.87
Distribution,$330581418.24
Promotion,$48254959.06
Loan Payments,$181146390.18
Office Supplies,$253145957.87
Maintenance,$57614383.55

Remote
Registration Fees,$742247602.01
Licensing and Permits,$32305963.72
Capital Inventory,$651883943.79
Deposits,$29789638.74
Property Investment,$2130584.22
Equipment Investment,$240569812.03
Utility Fees,$317020679.18
Salaries,$9788520.14
Rent,$1450890.97
Mortgage,$544780939.08
Telecommunication,$521721167.74
Utilities,$365530356.56
Raw Materials,$3307806.17
Storage,$8719412.74
Distribution,$822772515.22
Promotion,$299663052.27
Loan Payments,$63363688.87
Office Supplies,$383439501.71
Maintenance,$2546184.74

Outsourced
Registration Fees,$75570580.62
Licensing and Permits,$17518877.20
Capital Inventory,$30933640.50
Deposits,$1462609.57
Property Investment,$753217100.72
Equipment Investment,$677633832.36
Utility Fees,$859409792.69
Salaries,$2218657.23
Rent,$18650878.58
Mortgage,$3601816.32
Telecommunication,$4584125.33
Utilities,$217227885.48
Raw Materials,$955511462.20
Storage,$214541574.77
Distribution,$1856940.05
Promotion,$547401943.99
Loan Payments,$3072158.65
Office Supplies,$424665797.57
Maintenance,$7706563.85

Deductible
Registration Fees,$708266781.20
Licensing and Permits,$33166883.17
Capital Inventory,$73802057.14
Deposits,$80592429.12
Property Investment,$42331003.64
Equipment Investment,$248636128.08
Utility Fees,$91962202.37
Salaries,$665490462.56
Rent,$11264554.40
Mortgage,$1230321.39
Telecommunication,$69616520.00
Utilities,$92086512.44
Raw Materials,$1346113.43
Storage,$18768118.66
Distribution,$123341721.05
Promotion,$2244083.21
Loan Payments,$44929529.26
Office Supplies,$507302601.84
Maintenance,$1741540.06

