Onsite
Registration Fees,$27697263.96
Licensing and Permits,$415384.43
Capital Inventory,$241553.79
Deposits,$1991170.99
Property Investment,$9112060.62
Equipment Investment,$109390.55
Utility Fees,$1293557.85
Salaries,$3556603.50
Rent,$12405335.36
Mortgage,$23496628.98
Telecommunication,$153210.91
Utilities,$8723385.97
Raw Materials,$571222.06
Storage,$7861709.74
Distribution,$2943692.64
Promotion,$22466016.49
Loan Payments,$188019.83
Office Supplies,$17065577.29
Maintenance,$22565112.94

Remote
Registration Fees,$453102.07
Licensing and Permits,$25253053.00
Capital Inventory,$8750487.03
Deposits,$336053.34
Property Investment,$27949231.06
Equipment Investment,$325279.26
Utility Fees,$4488433.17
Salaries,$67369463.56
Rent,$40318602.79
Mortgage,$193170.89
Telecommunication,$5626767.87
Utilities,$19413631.91
Raw Materials,$1589092.81
Storage,$10316374.55
Distribution,$29695338.50
Promotion,$3741539.60
Loan Payments,$302673.99
Office Supplies,$58824622.37
Maintenance,$9174231.32

Outsourced
Registration Fees,$8185615.07
Licensing and Permits,$3374003.82
Capital Inventory,$61754226.56
Deposits,$148136.55
Property Investment,$333402.26
Equipment Investment,$149318.60
Utility Fees,$387380.26
Salaries,$31207428.16
Rent,$534882.36
Mortgage,$751931.47
Telecommunication,$79456358.34
Utilities,$27146860.29
Raw Materials,$85858994.95
Storage,$20036590.09
Distribution,$396023.46
Promotion,$182196.33
Loan Payments,$8144838.08
Office Supplies,$4348282.78
Maintenance,$233139.34

Deductible
Registration Fees,$304797.25
Licensing and Permits,$152097.41
Capital Inventory,$489086.20
Deposits,$5047108.19
Property Investment,$6578864.93
Equipment Investment,$631584.94
Utility Fees,$13095577.49
Salaries,$202045.04
Rent,$2400728.79
Mortgage,$1443465.74
Telecommunication,$116442.18
Utilities,$4927515.05
Raw Materials,$129887.70
Storage,$1078255.62
Distribution,$728937.57
Promotion,$98703586.47
Loan Payments,$989769.03
Office Supplies,$2804299.31
Maintenance,$13222419.82

