Onsite
Registration Fees,$23320015.02
Licensing and Permits,$442308.78
Capital Inventory,$1433178.96
Deposits,$47524951.16
Property Investment,$89305138.55
Equipment Investment,$2891575.76
Utility Fees,$13715795.03
Salaries,$20665183.97
Rent,$1232878.41
Mortgage,$1474797.90
Telecommunication,$43079536.64
Utilities,$11960791.42
Raw Materials,$4025929.76
Storage,$5341893.10
Distribution,$95212784.59
Promotion,$34490061.25
Loan Payments,$105050.80
Office Supplies,$383424.56
Maintenance,$104755.17

Remote
Registration Fees,$7972250.34
Licensing and Permits,$2820374.81
Capital Inventory,$393204.88
Deposits,$145863.30
Property Investment,$4464613.79
Equipment Investment,$8567050.75
Utility Fees,$1922342.13
Salaries,$1784511.32
Rent,$5919059.12
Mortgage,$13920718.46
Telecommunication,$1929944.03
Utilities,$6862012.34
Raw Materials,$526968.13
Storage,$64745973.32
Distribution,$26682016.46
Promotion,$831871.80
Loan Payments,$104916.75
Office Supplies,$302954.90
Maintenance,$1230596.92

Outsourced
Registration Fees,$408622.07
Licensing and Permits,$7136820.68
Capital Inventory,$176381.64
Deposits,$251483.63
Property Investment,$9055286.25
Equipment Investment,$773183.08
Utility Fees,$27592090.68
Salaries,$10903424.07
Rent,$7261387.54
Mortgage,$8758804.62
Telecommunication,$46564305.32
Utilities,$2070961.77
Raw Materials,$62519715.29
Storage,$119929.35
Distribution,$16850892.52
Promotion,$147710.70
Loan Payments,$11815231.72
Office Supplies,$51338054.52
Maintenance,$1860290.26

Deductible
Registration Fees,$43265008.32
Licensing and Permits,$231319.35
Capital Inventory,$3576608.95
Deposits,$343256.41
Property Investment,$24971602.37
Equipment Investment,$1966166.17
Utility Fees,$269230.78
Salaries,$369242.13
Rent,$37492355.53
Mortgage,$24458271.17
Telecommunication,$13403906.19
Utilities,$98679490.96
Raw Materials,$561969.92
Storage,$61779166.32
Distribution,$1662194.10
Promotion,$12582165.33
Loan Payments,$811955.62
Office Supplies,$6189574.51
Maintenance,$13699675.68

