Onsite
Registration Fees,$73816402.59
Licensing and Permits,$7055725.82
Capital Inventory,$61314157.17
Deposits,$42875766.13
Property Investment,$1715284.78
Equipment Investment,$99811162.84
Utility Fees,$33015943.97
Salaries,$146356216.84
Rent,$1347396.46
Mortgage,$28647640.56
Telecommunication,$2994618.61
Utilities,$4329489.46
Raw Materials,$11261721.03
Storage,$38688070.38
Distribution,$96225765.93
Promotion,$73560046.38
Loan Payments,$7889203.64
Office Supplies,$7937437.39
Maintenance,$4529665.28

Remote
Registration Fees,$177489110.93
Licensing and Permits,$8484787.27
Capital Inventory,$41375472.00
Deposits,$745878230.22
Property Investment,$8447830.66
Equipment Investment,$151706532.09
Utility Fees,$1414888.52
Salaries,$42252724.22
Rent,$4252682.83
Mortgage,$8642782.81
Telecommunication,$30208202.02
Utilities,$201751609.03
Raw Materials,$116717468.94
Storage,$625661562.09
Distribution,$28656534.03
Promotion,$75982313.20
Loan Payments,$9986897.05
Office Supplies,$2226239.15
Maintenance,$10603483.13

Outsourced
Registration Fees,$5153838.21
Licensing and Permits,$1874093.92
Capital Inventory,$61567352.87
Deposits,$146726170.55
Property Investment,$95240086.85
Equipment Investment,$231987273.20
Utility Fees,$4013628.11
Salaries,$6233191.79
Rent,$244117307.52
Mortgage,$99356023.13
Telecommunication,$266459766.96
Utilities,$81241151.16
Raw Materials,$268616183.47
Storage,$12606892.51
Distribution,$9894467.16
Promotion,$64786945.80
Loan Payments,$20904411.58
Office Supplies,$68222775.29
Maintenance,$105409044.65

Deductible
Registration Fees,$10344658.30
Licensing and Permits,$43116812.37
Capital Inventory,$482369039.54
Deposits,$797982903.98
Property Investment,$5410364.87
Equipment Investment,$2940841.81
Utility Fees,$25842536.46
Salaries,$369727916.99
Rent,$250524249.47
Mortgage,$209682414.53
Telecommunication,$118944711.22
Utilities,$307588657.61
Raw Materials,$247747232.01
Storage,$1549509.35
Distribution,$5182806.44
Promotion,$33079824.56
Loan Payments,$2692107.51
Office Supplies,$1831130.55
Maintenance,$203294973.97

