Onsite
Registration Fees,$539284.66
Licensing and Permits,$65333949.61
Capital Inventory,$20767496.11
Deposits,$190260.93
Property Investment,$204236.06
Equipment Investment,$32497754.60
Utility Fees,$13789654.11
Salaries,$494244.88
Rent,$54898634.60
Mortgage,$1159097.18
Telecommunication,$34433677.91
Utilities,$33008212.13
Raw Materials,$11977109.10
Storage,$12928281.52
Distribution,$22333609.14
Promotion,$33057581.38
Loan Payments,$25499514.17
Office Supplies,$1622299.96
Maintenance,$414430.32

Remote
Registration Fees,$66652951.30
Licensing and Permits,$375330.10
Capital Inventory,$21895858.60
Deposits,$34905483.94
Property Investment,$12032325.13
Equipment Investment,$69592486.53
Utility Fees,$235693.04
Salaries,$375286.18
Rent,$17890923.59
Mortgage,$267583.17
Telecommunication,$217983.86
Utilities,$415236.85
Raw Materials,$1968449.44
Storage,$71572425.10
Distribution,$142150.93
Promotion,$6659224.57
Loan Payments,$345687.24
Office Supplies,$1559363.15
Maintenance,$38106269.71

Outsourced
Registration Fees,$12705584.63
Licensing and Permits,$3440370.51
Capital Inventory,$957472.30
Deposits,$357930.64
Property Investment,$41293397.87
Equipment Investment,$3360584.21
Utility Fees,$1755859.03
Salaries,$88346105.01
Rent,$313346.88
Mortgage,$1074074.96
Telecommunication,$20331085.52
Utilities,$208024.56
Raw Materials,$751387.78
Storage,$7245912.40
Distribution,$424402.78
Promotion,$380403.05
Loan Payments,$715219.18
Office Supplies,$70136960.67
Maintenance,$544537.23

Deductible
Registration Fees,$6297248.26
Licensing and Permits,$285890.25
Capital Inventory,$217386.92
Deposits,$33110562.78
Property Investment,$66895472.00
Equipment Investment,$1182545.99
Utility Fees,$1954350.52
Salaries,$5002884.86
Rent,$378088.59
Mortgage,$37016607.97
Telecommunication,$1607055.60
Utilities,$121325.10
Raw Materials,$41613710.40
Storage,$85421677.46
Distribution,$30319678.94
Promotion,$12636771.24
Loan Payments,$499274.98
Office Supplies,$46555616.62
Maintenance,$9122134.73

