Onsite
Registration Fees,$20309641.43
Licensing and Permits,$6534722.39
Capital Inventory,$12535772.67
Deposits,$1484531.02
Property Investment,$19612312.77
Equipment Investment,$780334878.50
Utility Fees,$154345829.26
Salaries,$258430399.98
Rent,$314605896.06
Mortgage,$19988628.67
Telecommunication,$29346934.61
Utilities,$358019509.07
Raw Materials,$13502039.83
Storage,$997794079.35
Distribution,$61315135.16
Promotion,$688775569.46
Loan Payments,$7566163.84
Office Supplies,$35956553.11
Maintenance,$16646469.32

Remote
Registration Fees,$50996907.87
Licensing and Permits,$200012124.44
Capital Inventory,$89305718.35
Deposits,$4093543.69
Property Investment,$228126335.66
Equipment Investment,$289498224.37
Utility Fees,$1217976.48
Salaries,$4150434.76
Rent,$10455739.06
Mortgage,$1386811.06
Telecommunication,$1679275.72
Utilities,$146155153.27
Raw Materials,$134797774.16
Storage,$6399795.45
Distribution,$33844079.08
Promotion,$58928443.09
Loan Payments,$3167749.59
Office Supplies,$23123114.32
Maintenance,$71783603.78

Outsourced
Registration Fees,$2855930.02
Licensing and Permits,$125359751.43
Capital Inventory,$2473394.76
Deposits,$282695927.26
Property Investment,$47173360.99
Equipment Investment,$773604026.55
Utility Fees,$341439456.09
Salaries,$20406059.26
Rent,$112636532.23
Mortgage,$215233105.51
Telecommunication,$63814531.33
Utilities,$309088998.53
Raw Materials,$9425298.73
Storage,$1109028.56
Distribution,$120260176.36
Promotion,$1689314.11
Loan Payments,$353371873.57
Office Supplies,$425852586.16
Maintenance,$3186475.18

Deductible
Registration Fees,$176464006.18
Licensing and Permits,$1067853.82
Capital Inventory,$93406789.96
Deposits,$3318208.53
Property Investment,$44324641.85
Equipment Investment,$633305451.47
Utility Fees,$2607217.12
Salaries,$20815501.82
Rent,$83673389.75
Mortgage,$90129616.36
Telecommunication,$39519524.79
Utilities,$23146874.48
Raw Materials,$68065032.18
Storage,$252466195.06
Distribution,$724446574.60
Promotion,$209507752.63
Loan Payments,$62608856.84
Office Supplies,$232620664.11
Maintenance,$2199435.57

