Onsite
Registration Fees,$540489.66
Licensing and Permits,$12791390.98
Capital Inventory,$4790185.73
Deposits,$1394514.59
Property Investment,$589893.24
Equipment Investment,$50206486.04
Utility Fees,$618629.26
Salaries,$4529276.67
Rent,$1780394.33
Mortgage,$2101556.03
Telecommunication,$4346140.24
Utilities,$19443101.97
Raw Materials,$2044779.58
Storage,$18259419.17
Distribution,$11387951.96
Promotion,$4624848.73
Loan Payments,$18152740.00
Office Supplies,$37930984.84
Maintenance,$2365179.02

Remote
Registration Fees,$829160.17
Licensing and Permits,$168911.47
Capital Inventory,$58777624.59
Deposits,$119561.05
Property Investment,$1111453.14
Equipment Investment,$3286237.53
Utility Fees,$453706.14
Salaries,$19455269.17
Rent,$2143050.44
Mortgage,$2675930.62
Telecommunication,$1656528.91
Utilities,$11347199.45
Raw Materials,$589603.90
Storage,$18104306.75
Distribution,$1282994.07
Promotion,$41802226.83
Loan Payments,$20855672.18
Office Supplies,$85057777.32
Maintenance,$180788.38

Outsourced
Registration Fees,$92807012.99
Licensing and Permits,$34129732.67
Capital Inventory,$234935.18
Deposits,$40915135.52
Property Investment,$5242121.19
Equipment Investment,$448649.95
Utility Fees,$75376587.34
Salaries,$7962462.42
Rent,$33686905.15
Mortgage,$5308533.95
Telecommunication,$74654400.19
Utilities,$1680623.22
Raw Materials,$651425.91
Storage,$121874.60
Distribution,$2509742.49
Promotion,$374925.08
Loan Payments,$75425998.39
Office Supplies,$34282724.26
Maintenance,$2006084.17

Deductible
Registration Fees,$53014721.25
Licensing and Permits,$84596609.66
Capital Inventory,$1096210.11
Deposits,$12480559.46
Property Investment,$205066.38
Equipment Investment,$17371092.24
Utility Fees,$22014222.52
Salaries,$2456078.75
Rent,$552600.39
Mortgage,$405779.32
Telecommunication,$85959578.19
Utilities,$544005.56
Raw Materials,$28349742.48
Storage,$8100750.93
Distribution,$928484.46
Promotion,$157619.04
Loan Payments,$72255357.45
Office Supplies,$59069674.35
Maintenance,$16774758.47

