Onsite
Registration Fees,$350338308.36
Licensing and Permits,$8602597.97
Capital Inventory,$17355432.16
Deposits,$1791953.75
Property Investment,$36791015.44
Equipment Investment,$957527836.76
Utility Fees,$147953597.98
Salaries,$3180448.60
Rent,$857610061.13
Mortgage,$1545029.23
Telecommunication,$1724045.48
Utilities,$492937445.91
Raw Materials,$4441246.94
Storage,$4324529.76
Distribution,$226304092.98
Promotion,$41832013.59
Loan Payments,$10713262.33
Office Supplies,$3123136.69
Maintenance,$288962464.04

Remote
Registration Fees,$24228434.86
Licensing and Permits,$17866904.08
Capital Inventory,$54876076.65
Deposits,$3252680.10
Property Investment,$3746059.72
Equipment Investment,$169955300.76
Utility Fees,$4011269.80
Salaries,$686928710.59
Rent,$3021605.80
Mortgage,$284321718.27
Telecommunication,$838755747.68
Utilities,$1174784.75
Raw Materials,$78265719.92
Storage,$1487603.90
Distribution,$1309520.84
Promotion,$733151716.19
Loan Payments,$529566137.97
Office Supplies,$126746802.54
Maintenance,$8860369.63

Outsourced
Registration Fees,$508598518.88
Licensing and Permits,$5732378.88
Capital Inventory,$5538363.83
Deposits,$321618405.24
Property Investment,$124971257.34
Equipment Investment,$785752228.78
Utility Fees,$14512063.65
Salaries,$3347369.76
Rent,$432025956.94
Mortgage,$5425764.41
Telecommunication,$659176634.70
Utilities,$250098843.62
Raw Materials,$764214683.93
Storage,$7370672.57
Distribution,$432423258.89
Promotion,$1299654.27
Loan Payments,$157527243.79
Office Supplies,$9109517.29
Maintenance,$7153473.34

Deductible
Registration Fees,$421981176.02
Licensing and Permits,$26168971.77
Capital Inventory,$6606867.08
Deposits,$19827269.94
Property Investment,$2319528.97
Equipment Investment,$4317880.10
Utility Fees,$248498637.56
Salaries,$19235723.86
Rent,$3925012.99
Mortgage,$172079900.14
Telecommunication,$120908746.06
Utilities,$80769229.36
Raw Materials,$541859596.70
Storage,$28756959.26
Distribution,$13076186.69
Promotion,$12803015.67
Loan Payments,$385210820.49
Office Supplies,$8529406.10
Maintenance,$7312817.60

